country	lifeExp	I.year...offset.	.fitted	.se.fit	.resid	.hat	.sigma	.cooksd	.std.resid
1	Afghanistan	28.801	0	29.9072948717949	0.663999539495008	-1.10629487179486	0.294871794871795	1.21181261302683	0.242720545507528	-1.07742164056499
2	Afghanistan	30.332	5	31.2839382284382	0.579944150134967	-0.951938228438231	0.224941724941725	1.2375118239986	0.113471428736383	-0.884281272566812
3	Afghanistan	31.997	10	32.6605815850816	0.50267989848085	-0.663581585081592	0.168997668997669	1.26588632286083	0.0360356668080127	-0.595308444353682
4	Afghanistan	34.02	15	34.037224941725	0.435833658214266	-0.0172249417249437	0.127039627039627	1.28891705626893	1.65399180824672e-05	-0.0150768055919723
5	Afghanistan	36.088	20	35.4138682983683	0.384872588219665	0.674131701631698	0.0990675990675991	1.26700340582505	0.0185483126796787	0.580827922303037
6	Afghanistan	38.438	25	36.7905116550117	0.356671943006652	1.64748834498834	0.0850815850815851	1.1540018129793	0.0922535776998758	1.40857509362021
7	Afghanistan	39.854	30	38.167155011655	0.356671943006652	1.68684498834499	0.0850815850815851	1.14707599804621	0.0967138932163573	1.44222436814728
8	Afghanistan	40.822	35	39.5437983682984	0.384872588219665	1.27820163170163	0.0990675990675991	1.20824255009818	0.066682771561675	1.10129103293709
9	Afghanistan	41.674	40	40.9204417249417	0.435833658214266	0.753558275058274	0.127039627039627	1.260582611169	0.0316556706162035	0.659581425394499
10	Afghanistan	41.763	45	42.2970850815851	0.50267989848085	-0.534085081585082	0.168997668997669	1.27405076084238	0.0233434373050672	-0.479135295823243
11	Afghanistan	42.129	50	43.6737284382284	0.579944150134967	-1.54472843822844	0.224941724941725	1.14859268322728	0.298794962599209	-1.43494019708383
12	Afghanistan	43.828	55	45.0503717948718	0.663999539495009	-1.22237179487179	0.294871794871795	1.19410903136517	0.296327107506183	-1.19046906768573
13	Albania	55.23	0	59.2291282051282	1.07684403179424	-3.99912820512815	0.294871794871795	1.35991465827006	1.20593900085717	-2.40156914369035
14	Albania	59.28	5	60.9025442890443	0.940526852355619	-1.62254428904431	0.224941724941725	1.99801617910445	0.125340681996004	-0.929379722544626
15	Albania	64.82	10	62.5759603729604	0.815223228910245	2.2440396270396	0.168997668997669	1.9225423859786	0.156687698245226	1.24134703724649
16	Albania	66.22	15	64.2493764568765	0.70681505902853	1.97062354312353	0.127039627039627	1.96855384762553	0.0823104756360502	1.0635801255721
17	Albania	67.69	20	65.9227925407926	0.624168730509583	1.76720745920744	0.0990675990675991	1.99607661613516	0.0484640746067017	0.938869528879473
18	Albania	68.93	25	67.5962086247086	0.578434216125018	1.33379137529137	0.0850815850815851	2.03799724977536	0.0229902805484202	0.703170320381929
19	Albania	70.42	30	69.2696247086247	0.578434216125018	1.15037529137529	0.0850815850815851	2.0515279533343	0.0171020255692933	0.606473978750316
20	Albania	72	35	70.9430407925408	0.624168730509583	1.0569592074592	0.0990675990675991	2.05711023974176	0.0173364952651623	0.561533841418421
21	Albania	71.581	40	72.6164568764569	0.70681505902853	-1.03545687645687	0.127039627039627	2.05742905910728	0.0227254143520862	-0.558854256323811
22	Albania	72.95	45	74.289872960373	0.815223228910245	-1.33987296037295	0.168997668997669	2.03210279022467	0.0558600220621696	-0.741184473573603
23	Albania	75.651	50	75.963289044289	0.940526852355618	-0.312289044289041	0.224941724941725	2.08698351228144	0.00464314696632926	-0.178876538098092
24	Albania	76.423	55	77.6367051282051	1.07684403179424	-1.21370512820512	0.294871794871795	2.03405000186842	0.111076211939757	-0.728858050036621
25	Algeria	43.077	0	43.3749743589744	0.718420236072586	-0.297974358974341	0.294871794871795	1.38954590504316	0.0150418402534568	-0.268214906362032
26	Algeria	45.685	5	46.221372960373	0.627475756332223	-0.536372960372962	0.224941724941725	1.37970472983188	0.0307738039333551	-0.460508612890051
27	Algeria	48.303	10	49.0677715617716	0.543879008726738	-0.764771561771571	0.168997668997669	1.36624544609702	0.040887053532576	-0.63411593815084
28	Algeria	51.407	15	51.9141701631702	0.471554121650148	-0.507170163170172	0.127039627039627	1.38278320759219	0.0122490855145144	-0.410293362273969
29	Algeria	54.518	20	54.7605687645688	0.416416336518735	-0.242568764568769	0.0990675990675991	1.3919670042301	0.00205146023144799	-0.193164286000547
30	Algeria	58.014	25	57.6069673659674	0.385904396394891	0.407032634032633	0.0850815850815851	1.3873386436274	0.00481033607288176	0.321644482424783
31	Algeria	61.368	30	60.453365967366	0.385904396394891	0.914634032634032	0.0850815850815851	1.35765767276026	0.024289113963107	0.722760205048029
32	Algeria	65.799	35	63.2997645687646	0.416416336518735	2.49923543123544	0.0990675990675991	1.08374064482802	0.21777483236212	1.99021101698771
33	Algeria	67.744	40	66.1461631701632	0.471554121650148	1.59783682983683	0.127039627039627	1.27274126834636	0.121579717276418	1.29262699757628
34	Algeria	69.152	45	68.9925617715618	0.543879008726738	0.159438228438231	0.168997668997669	1.393352022239	0.00177708120945326	0.132199374109853
35	Algeria	70.994	50	71.8389603729604	0.627475756332223	-0.844960372960371	0.224941724941725	1.35737868465924	0.0763695293224761	-0.725449562238326
36	Algeria	72.301	55	74.685358974359	0.718420236072586	-2.38435897435897	0.294871794871795	1.0241992782736	0.963133447354895	-2.14622701511116
37	Angola	30.015	0	32.1266538461539	0.764035492705228	-2.11165384615384	0.294871794871795	1.22351761100707	0.667911137092892	-1.78727659084524
38	Angola	31.999	5	33.1733531468532	0.667316599085104	-1.17435314685315	0.224941724941725	1.41489654663425	0.130429223251526	-0.948057372732462
39	Angola	34	10	34.2200524475525	0.578411973298842	-0.220052447552449	0.168997668997669	1.48093350362319	0.00299298683881077	-0.171564790860663
40	Angola	35.985	15	35.2667517482518	0.501494901705066	0.71824825174825	0.127039627039627	1.46081376784915	0.0217207829308136	0.546361885905545
41	Angola	37.928	20	36.3134510489511	0.442856207088316	1.61454895104895	0.0990675990675991	1.37045553692316	0.0803573912552222	1.2089496018327
42	Angola	39.483	25	37.3601503496504	0.410406946842871	2.12284965034965	0.0850815850815851	1.28543903033466	0.115687244668043	1.57736113136817
43	Angola	39.942	30	38.4068496503497	0.410406946842871	1.53515034965035	0.0850815850815851	1.38326922065125	0.0604990891454798	1.14067733998302
44	Angola	39.906	35	39.453548951049	0.442856207088316	0.452451048951048	0.0990675990675991	1.47458185215647	0.00631054102521006	0.338788436933292
45	Angola	40.647	40	40.5002482517483	0.501494901705066	0.146751748251748	0.127039627039627	1.48219345363082	0.000906761114720479	0.11163210176927
46	Angola	40.963	45	41.5469475524476	0.578411973298842	-0.583947552447551	0.168997668997669	1.46766653678263	0.02107657728089	-0.455277097908131
47	Angola	41.003	50	42.5936468531469	0.667316599085104	-1.59064685314685	0.224941724941725	1.35532994330583	0.239290257705664	-1.28413201819277
48	Angola	42.731	55	43.6403461538462	0.764035492705228	-0.909346153846151	0.294871794871795	1.43851921303214	0.123860177527472	-0.769658860851941
